,SCOREMARGIN,index,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
56,TIE,71,Jump Shot,14.14128951,201584,Courtney Lee,26.32764,50.30416,Missed Shot,20151102,46,21500051,Shot Chart Detail,1,GSW,36,40,6,1,201939,Stephen Curry,Regular,14,1,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:6:14,MEM
57,-3,72,Jump Shot,3.371439322,2757,Beno Udrih,28.00574,13.14592,Missed Shot,20151102,108,21500051,Shot Chart Detail,1,GSW,28,9,0,1,201939,Stephen Curry,Regular,59,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:0:59,MEM
58,-1,73,Jump Shot,0,203210,JaMychal Green,10.21552,21.71999,Missed Shot,20151102,122,21500051,Shot Chart Detail,1,GSW,10,21,0,1,201939,Stephen Curry,Regular,6,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:1:0:06,MEM
59,13,74,Jump Shot,10.06498127,2754,Tony Allen,21.05168,-0.0733,Missed Shot,20151102,225,21500051,Shot Chart Detail,1,GSW,31,1,2,2,201939,Stephen Curry,Regular,48,1,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:2:2:48,MEM
60,13,75,Floating Jump shot,2.671936207,201144,Mike Conley,19.78319,10.8619,Made Shot,20151102,236,21500051,Shot Chart Detail,1,GSW,21,12,2,2,201939,Stephen Curry,Regular,34,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:2:2:34,MEM
61,21,76,Step Back Jump shot,4.947064636,2216,Zach Randolph,81.81338,40.19621,Made Shot,20151102,289,21500051,Shot Chart Detail,1,GSW,81,45,10,3,201939,Stephen Curry,Regular,0,1,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500051:3:10:00,MEM
62,24,77,Step Back Jump shot,0.374748758,201144,Mike Conley,68.56605,8.65007,Made Shot,20151102,297,21500051,Shot Chart Detail,1,GSW,68,8,9,3,201939,Stephen Curry,Regular,5,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:9:05,MEM
63,29,78,Driving Reverse Layup Shot,0.790136521,203210,JaMychal Green,82.74453,24.79954,Missed Shot,20151102,313,21500051,Shot Chart Detail,1,GSW,83,24,7,3,201939,Stephen Curry,Regular,49,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:7:49,MEM
64,32,79,Running Reverse Layup Shot,3.672687829,201584,Courtney Lee,70.37989,42.45242,Made Shot,20151102,326,21500051,Shot Chart Detail,1,GSW,70,38,6,3,201939,Stephen Curry,Regular,43,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:6:43,MEM
65,35,80,Running Reverse Layup Shot,14.09058447,203210,JaMychal Green,91.9842,30.41719,Made Shot,20151102,331,21500051,Shot Chart Detail,1,GSW,87,43,6,3,201939,Stephen Curry,Regular,28,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:6:28,MEM
